description,business_tags,sector,category,niche,insurance_label
"Gofer is a customer support company that offers AI-powered solutions to streamline conversations, analyze customer sentiment, and improve agent performance in real-time. Their AI assistant connects with popular customer support apps and provides personalized improvement suggestions to stream line the training process for support agents. Gofergoer's AI helps improve response time and gauge the efficiency of agents by analyzing customer sentiment. The company aims to empower support teams to improve their performance and stand out in the market.","['Sentiment Analysis', 'Streamlined Conversations', 'Agent Assessments', 'Issue Categorization and Delegating', 'Suggested Responses', 'Ai-powered Personalized Coaching', 'Integration with Existing Support Apps', 'Performance Monitoring', 'Personalized Recommendations for Improvement', 'Real-time Performance Monitoring', 'Customer Support Services']",Services,Call Centers,Telemarketing Bureaus and Other Contact Centers,"['Marketing Services', 'Training Services']"
"Hitech Utilities is a company that provides business utilities at an unbeatable cost. Their aim is to reduce business utility costs and offer a superior service by finding the right supplier for gas and electric energy needs. They have an expert team that understands the energy market and the limitations of budgets, and they strive to cut costs for all businesses. Hitech Utilities provides green energy options, with wind power being one of their key sources of energy. They keep their clients up to date during the whole process and offer utilities for businesses, allowing them to take care of the utilities. Hicio Utilities works with suppliers such as EDF Energy, npower business, Scottish Power, utilita, Dual Energy, OPUS Energy, and Gazprom.","['Electricity and Gas Supplier', 'Business Utilities', 'Energy Management for Businesses', 'Green Energy Options', 'Wind Energy Solutions']",Wholesale,Utility companies,Fossil Fuel Electric Power Generation,[]
"Kaloor Sports Group is an online gambling operator that offers a variety of games including live casino, chess, slot games, fishing, lottery, and sports betting. It is considered one of the world's most renowned online gambling operators and is known for its thrilling and entertaining games. The company has passed all compliance checks and holds legal authorization to conduct all gaming operations involving opportunities and betting. Kaloor Sports is India's largest international stadium and online reputable casino, offering competitive games of cards, cricket, and more.","['Ali Baba', 'Money Coming', 'Cricket Games', 'Texas Holdem', 'Slots Game', 'Competitive Games', 'Card Game', 'International Stadium', 'Fishing Games']",Services,Casino & Betting,Other Gambling Industries,"['Legal Services', 'Compliance Services']"
"Shenzhen Jiali Office Furniture Co., Ltd. is a Chinese company that specializes in the production and supply of office furniture. They offer a wide range of products including office tables, chairs, workstations, conference tables, and more. The company has been a long-term supplier to government agencies, schools, and Fortune 500 companies for many years. They are known for their high-quality products, fast delivery, and affordable prices. Shenzhen JIALi Office Furniture Co. is the second-largest supplier of office furnishings in Shenzhen and offers a variety of products such as chairs, sofas, desks, and conference tables. They also offer customized office furniture and hot wire products.","['Customized Furniture', 'Green Office Solutions', 'Conference and Planning Furniture', 'Training Furniture']",Manufacturing,Office Furniture,Wood Office Furniture Manufacturing,"['Wood Product Manufacturing', 'Furniture Manufacturing']"
"Bellarine Canvas is a company that specializes in manufacturing and repairing canvas and vinyl products. With over 35 years of experience in the industry, they offer a range of services including boat covers and side clear panels. They have received positive feedback from customers who have praised their workmanship and customer service.","['Canvas Storm Covers', 'Invisible Mends', 'Clears Zips and Fasteners']",Manufacturing,Boats services & dealers,Boat Building,['Canvas Manufacturing']
"Chiguru Women's and Children's Hospital, located in Harugeri, Karnataka, India, specializes in obstetrics and gynecology.","['Obstetrics Gynecology', 'Healthcare Services', 'Obstetric Services']",Services,"Fertility, Birth & Maternity Services",Family Planning Centers,[]
"24h-SeniorService GmbH is a German company that provides reliable personnel services in the field of nursing for hospitals, senior homes, and gastronomy. The company is able to send Ukrainian nursing staff to Germany for official nursing positions, including certified nursing assistants. They also offer trained Ukrainian kitchen and service staff for hotels. The staff undergo a thorough background check and are trained in Poland and Germany before being deployed. The personnel are expected to work for a minimum of three months and are motivated by the company's low-risk conditions. The future of the company is in line with the current situation in Germany, where the shortage of local German workers is increasing.","['Staffing & Recruitment', 'Hotel Workers Services', 'Service Personnel for Ukrainian Kitchens', 'Senior Staffing Solutions', 'Hospital Staffing', 'Gastronomy Staffing and Job Placement', 'Certified Nurses', 'Certified German Language Professionals']",Services,Employment Agencies & HR Consulting,Temporary Help Services,['Consulting Services']
"Niks Entertainment 7826 is a dance academy located in Ahmedabad, India. They offer a variety of services including dance classes, fitness centers, acting classes, weight loss centers, aerobic classes, and dance classes for children. The academy is known for its budget-friendly fees and experienced instructors, including Vishal and Hiteshwari. Niks Entertainment is considered one of the best dance academies in Ahmedabh and offers personalized learning experiences for individuals of all ages.","['Aerobics Classes', 'Acting Classes', 'Arts, Entertainment, and Recreation', 'Kids Dance Classes', 'Garba Classes', 'Dance Academy Services', 'Fitness Center', 'Weight Loss Centers', 'Production']",Services,Entertainers,Dance Companies,"['Ice Production Services', 'Arts Services']"
Theme Island Marine Terminal is a ship chandlery company that specializes in the export and import of cruise ships. They are the largest ship chatterer in the North Georgia RFP market and have licenses to export passenger ships (Class 4 and Class 9) as well as general cargo ships (class 4 and 9).,"['Non-profit Organization', 'Sportsmanship Training', 'Coaching Services', 'Sportsmanship Association']",Services,Trucking and Logistics,Marine Cargo Handling,['Training Services']
"Brownie It's Cacau is a company that specializes in handmade brownies, including nutella, pecan, and chocolate trio flavors. Their products are made with high-quality ingredients and are known for their unique and delicious taste. The company was founded with the goal of bringing their brownies to as many locations as possible, with dedication and seriousness. They offer a variety of flavors, including pecan brownie, nutella brownie (medium, confetti, milk, and nuts), and chocolate triangle trio. Brownie It is also available for businesses looking to sell their products.","['Retail Trade', 'Food Manufacturing', 'Handcrafted Brownies', 'High-quality Ingredients']",Manufacturing,Bakeries & Desserts,Chocolate and Confectionery Manufacturing from Cacao Beans,['Confectionery Manufacturing']
"Helsby Hill fort is an Iron Age hillfort located in Cheshire, northwest England. It overlooks the village of Helsby and features steep cliffs on both the northern and western sides, offering a natural semicircular defense system. The fort's double rampart earthworks provide protection to the south and east sides through double ramparts.","['Iron Age Hillfort', 'Iron Fortress', 'Historical Preservation']",Manufacturing,Fences & Ornamental Metal Work,Ornamental and Architectural Metal Work Manufacturing,[]
"The Freiwillige Feuerwehr Borkum is a volunteer fire department located in Borkums, Germany. They offer membership and leadership opportunities for those interested in joining, as well as a youth fire department and a fire protection education program. The department has recently constructed a new fire station.","['Music Train', 'Fire Prevention and Safety Education', 'Volunteer Fire Departments', 'Smoke Detectors']",Government,Fire Departments & Fire Protection,Fire Protection,[]
Florida. The restaurant offers a menu of food items that can be ordered online directly from their website.,"['Restaurant Services', 'Online Ordering Platform', 'Food Delivery Services']",Services,Restaurants,Full-Service Restaurants,[]
"Steinmetz Esquadrias is a company that specializes in the production and installation of wooden and PVC enclosures. With over 25 years of experience, the company has continuously improved its technology and production in recent years. They offer both traditional wooden and modern PVC enclosing options for their customers. Steinmetz also provides maintenance services for their enclosures and has a showroom for customers to view their products.","['PVC Frames Manufacturer', 'Decks and Pergolas', 'Wooden Pivot Doors', 'WPC Doors Manufacturer', 'Woodenclosed Spaces', 'Staircases', 'Maintenance-free Doors']",Manufacturing,Building Material Manufacturers,Other Millwork (including Flooring),"['Millwork Services', 'Flooring Installation Services', 'Ice Production Services', 'Wood Product Manufacturing']"
"Abimbola Supermarket is a supermarket located in Ikotun, Nigeria. It is a one-stop-shop for all grocery needs, offering a variety of products and services to its customers.",[],Retail,Groceries,Convenience Retailers,[]
"Shri Krishna Medical Hall is a pharmacy located in Ratia, Haryana, India.","['Pharmaceutical Products', 'Pharmacy Services', 'Healthcare Products']",Retail,Drug Stores & Pharmacies,Pharmacies and Drug Retailers,[]
"The Broadstraik Brae is a bus stop located in Westhill, Scotland, United Kingdom.","['24 Bus Station Services', 'Bus Transportation Services', 'Transit Interchange', 'Bathroom Facilities', 'Logical Transit Station', 'School and Employee Bus Transportation']",Services,"Buses, Shuttles & Local Transit",School and Employee Bus Transportation,[]
"Android Travel is a leading multi-recharge platform in India that offers a wide range of services including prepaid and DTH recharge, postpaid payments, electricity bill payments, gas and insurance payments, domestic and international hotel booking, domestic flight booking, bus booking, new PAN registration and edit, mini ATM (M-Pos), AEPS services, and comprehensive payment services for customers and merchants. With over 5000 consumers, they provide mobile payment solutions for seamless mobile payments from various sources such as cards, bank accounts, and digital credit. Android Travel aims to maintain an open culture where everyone is a hands-on contributor and feels comfortable sharing ideas and opinions. They also offer services such as prepaid and dTH recharge with live response, post-paid mobile, landline, broadband, electricity bills with BBPS, insurance premium, and water bill payment. Additionally, Android Travel operates the largest e-commerce market in India with minimum prices and maximum standards.","['Pay Water Bill Online', 'New PAN Registration and Editing Services', 'Gas and Insurance Payments', 'Multi-recharge Platform', 'AEPS Services', 'Flight Booking Services', 'Comprehensive Payment Services', 'Mini ATM Services', 'Domestic and International Hotel Booking', 'Prepaid and DTH Recharge Services', 'Mobile Payment Solutions']",Services,Money Transfer,Other Activities Related to Credit Intermediation,"['Insurance Services', 'Travel Services', 'E-Commerce Services']"
"Heating Enclosures Shop is a company that specializes in high-quality entrance doors made in Germany. They offer a wide selection of prefabricated doors made from materials such as plastic, aluminum, and wood. Their online shop provides customers with a perfect solution for stylish and secure entrance doors. They also offer express door systems and metalock. The company provides a free consultation service with their team of experts to help customers choose the right door for their needs. Each door comes with full installation instructions and usage instructions. Heating Enclosure Shop offers custom-made doors to maintain the customer's style and taste.","['Installation Instructions', 'Consultation Services', 'On-site Installation', 'Door Selection Advice', 'Woodworking Doors', 'Express Doors', 'Window and Door Installation Services', 'Online Retail']",Manufacturing,Windows & Door Shops,Wood Window and Door Manufacturing,"['Windows and Doors Installation', 'Window and Door Manufacturing', 'Plastic Manufacturing']"
"Shandong Wanqing Fiber Network Co., Ltd. is a Chinese company that specializes in the production and sale of various types of nets, including wind-resistant nets, safety nets, and rubber fences. The company's main products include wind-surfingers, safety net belts, safety ropes, and non-corrosive nets for agricultural use. The products are designed, researched, developed, produced, and sold as a single company, with a focus on providing high-quality products to customers.","['Bird Nets Manufacturer or Exporter/welding Supplies/welder', 'Snow Nets Manufacturer /Exporter', 'Chain Link Nets Manufacturer/exporter', 'Production', 'Safety Nets Manufacturer', 'Agriculture Nets Manufacturer/exporter']",Manufacturing,Fabric-Based Home Goods,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",['Rubber Manufacturing']
"The Sapi Bali Bojong Kulur is a cattle farm located in Gunung Putri, West Java, Indonesia.","['Agriculture', 'Cattle Feedlot Operations']",Wholesale,Livestock & Animal Raising,Livestock Merchant Wholesalers,[]
"Lotto Ric. N. 1175 is a UPS Access Point location in Arcene that offers convenient package delivery services with extended opening hours. Customers can retrieve or store their packages at their convenience. For further information about packages, customers can visit the UPS page. For any inquiries regarding package delivery, customers are encouraged to contact Customer Service at 02 30 30 30 300 39.","['Retail', 'Ups Access Point', 'Package Delivery Services']",Services,Postal Service,Couriers and Express Delivery Services,[]
"The World Scleroderma Foundation is a non-profit, non-governmental foundation based in Switzerland. It is dedicated to promoting sclerodermia research and providing support to patients with sclerderma. The foundation aims to initiate and support research in all aspects of sclerodema worldwide, with a focus on improving the quality of life for sclerverma sufferers and their families. It achieves this through project grants, expert advisory panels, and knowledge dissemination platforms. Patient groups and allied health professionals are integral to the foundation's structure, and it works closely with society, industry, and government to facilitate patient-oriented research. The WSF remains independent of regional, political, or industrial pressures.","['Project Grants', 'Knowledge Dissemination Platform', 'Patient-oriented Research', 'Expert Advisory Panel', 'Scleroderma Treatment', 'Research Support', 'Non-profit Organization', 'Non-profit Foundation', 'Digital Ulcer Research', 'Non-profit Scleroderma Research', 'Gastrointestinal Research']",Non Profit,Social Services & NGOs,Voluntary Health Organizations,[]
"Shandong Baiduanyuan Lianshengda Co., Ltd. is a company located in Shandong, China that specializes in the production of hand-rolled coffee powder filter bag packaging machines and fiber optic fusion gas leakage testing machines. The company is committed to providing high-quality and stable products for laboratory research, with a goal of becoming a leading expert in the field of multidisciplinary integration. Baiduan Lianza has a team of 100 professionals, including PhD and PhD researchers, and is equipped with a professional team that handles sales and after-sales service. The main products of Baidui Liansza are used for the production and testing of weather-induced oil leakage images, wall-mounted heating oil leakage patterns, and electric motor leakage lines. The enterprise aims to build a modern corporate culture and strive to become a leading advanced technology enterprise.","['Cast Iron Cylinder Testing Services', 'Three-phase 380v Motor Calibation Services', 'Multifunctional Testing Services for Coffee Powder', 'Wind Speed Calibration Services', '541F Cylinders', 'Marine Office Chair Calibers', 'Multifunctional Converters']",Manufacturing,Packing & Crating,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,"['Ice Production Services', 'Gas Manufacturing Services', 'Plastic Manufacturing', 'Laboratory Services']"
"Agência Lunar is a Brazilian company that specializes in Pay-Per-Use Traffic and Online Sales. They have a specialized team that studies their clients’ businesses, products/services, and audiences to align their data with effective strategies that align with Pay-per-Use to increase results. They offer data-driven strategies, research and planning, campaigns and qualified traffic, planned actions aimed at the right audience, management and advisory services, and daily campaign and business support.","['Campaign Monitoring', 'Online Traffic/payment Systems', 'Traffic Management', 'Studies And Planning', 'Qualified Traffic', 'Personalized Copies', 'Digital Marketing Consultancy Services', 'Business Support Services', 'Data-Driven Strategy', 'Campaign Management']",Services,Digital & Marketing Agencies,Advertising Agencies,"['Marketing Services', 'Market Research Services', 'Digital Marketing Services', 'Online Marketing Services', 'Advertising Services']"
"The company is a production company that specializes in storytelling, directing, screenwriting, and education. They have produced a reel showcasing their work.","['Screenwriting Teaching Services', 'Director of Photography Services', 'Storytelling', 'Educational Services']",Services,Video and Audio Production,Motion Picture and Video Distribution,['Ice Production Services']
"David Evans Celebrant is a certified and independent celebrant based in Basingstoke, Southern England. The company specializes in offering religious or non-religious ceremonies and milestones for weddings, funerals, vow renewals, and naming ceremonies. David Evans, the founder, is a local and friendly celebrant who assists clients in developing all aspects of their ceremony to be run according to their preferences. The name of the company is inspired by David Evans' family name, and the company aims to provide a personalized and unique ceremony that is specifically designed with the client in mind.","['Vow Renewal Ceremonial Services', 'Wedding Ceremonie Services', 'Celebrant Services', 'Funeral Ceremonies', 'Certified Celebrant']",Services,Funeral Services & Cemeteries,All Other Personal Services,[]
"Fenix Management Services is a professional property management company that offers comprehensive services to ensure the protection, profitability, and preservation of clients' properties. Their goal is to prevent risks and disruptions that could damage clients' assets. To start managing a property with Fenix MS, clients need to provide necessary documents such as HUD, a declaration of closure operation, and a contract between the client and Fenix. Fenix Management Service understands the importance of their clients' investments and aims to maximize their returns.","['Personalized Attention', 'Hud Requirements Assistance', 'Lease Agreements', 'Tenant Management', 'Property Management Services', 'Administrative Contracts', 'Property Repairs', 'Account Control', 'Property Report']",Services,Property Management,Nonresidential Property Managers,['Property Management Services']
"The company is a software solution vendor that specializes in the electronic circuit industry, focusing on electronic circuits such as printed circuit boards (PCBs) and semiconductors. Their software solution utilizes vector data technology to streamline the manufacturing process of electronic circuits, reducing environmental impact and supporting environmentally friendly production.","['Software Solutions Vendor', 'Environmental Sustainability', 'Manufacturing Process Streamlining', 'Environmentally Friendly Production', 'Software Solutions Using Vector Data Technology', 'Vector Data Technology', 'Software Solutions for Electronic Circuits', 'Detailed Drawing Previews', 'Software Development and Implementation of Software', 'Software Solution Vendor for Electronic Circuits', 'Software Development of Software Solutions']",Manufacturing,Electronical Components Manufacturing,Bare Printed Circuit Board Manufacturing,['Software Manufacturing']
"Redes Vivas is a project aimed at promoting the meeting and facilitation of the arts from life care, with a focus on the world of art and culture. It is a social network that encourages community weaving and cultural development through caregiving. The project offers a free social network for individuals to participate and collaborate through care, supported by a professional team that promotes cultural work. Redes Vivás is currently undergoing a reform process and will remain free for the duration of the project.","['Non-profit Organization', 'Cultural Development Services', 'Social Networking Opportunities', 'Community Building Services', 'Quality Gatherings', 'Culture of Care Development', 'Social Networking Facilitation', 'Personalized Assistance from Facilitation Teams', 'Legal and Administrative Support', 'Interpersonal Relationship Support', 'Art Facilitation Services', 'Art Promotion', 'Community Support Services']",Non Profit,Social Services & NGOs,Human Rights Organizations,"['Legal Services', 'Arts Services']"
"The National Chinese Medicines Administration of the People's Republic, also known as Satcm, is a government department responsible for the management of Chinese medicine, including both Western and traditional medical practices. It operates under the title of the National Bureau of Chinese Medicine Administration.","['Traditional Medical Practices', 'Chinese Medicine Department', 'Governmental']",Government,"Executive, Legislative & Government Institutions",Administration of Public Health Programs,[]
Método Rugas Nunca Mais is a company that offers a program designed to help individuals suffering from acne and other skin issues. The program includes recipes and modules that are said to have helped many customers achieve relief from acne symptoms within three weeks. The company claims that their program has been successful in reducing symptoms and improving skin texture.,"['Retail', 'Beauty and Wellness Services', 'Beautapy', 'Anti Wrinkle Creams']",Manufacturing,"Carpets, Rugs & Other Floor Covers",Carpet and Rug Mills,"['Carpet Manufacturing Services', 'Gas Manufacturing Services']"
"All About People is a company that offers training, coaching, and consulting services to young professionals. Their mission is to help individuals discover their potential, increase the number of equal minds in the business world, and contribute to the creation of a contemporary leadership structure. They provide in-class online training, seminars, webinars, and e-learning applications, as well as private programs and workshops to solve specific business issues. They also offer management consulting services for companies' change projects, including interim management, and individual or team mentoring and professional coaching support.","['Facilitation of Cross-cultural Solution Meetings', 'Case Studies', 'Crisis Communications', 'Change Coaching Expat Coaching', 'Professional Coaching and Support Services', 'Webinars and E-learning', 'Motivational Talk', 'Group Discussions', 'Interim Managers for Change Projects', 'Real-world Recommendations', 'In-house Mentoring, Coaching, and Training', 'Team Building Strategies', 'Leadership, Management, and Personal Development Training', 'Training Seminars', 'Moderation of Meetings', 'Peri-seminars', 'Online Classes/webinars', 'Consulting Services']",Education,Educational Consultants,Professional and Management Development Training,"['Consulting Services', 'Management Consulting', 'Business Development Services', 'Project Management Services', 'Training Services', 'Crisis Management Services']"
"Oncers France is a French-based website dedicated to providing information about the Once Upon A Time series. The website features a search guide, a summary of the series, and a section on the cast of Once Upon a Time. It also provides information on the season guide, filming locations, conventions in France and Europe, and exclusive interviews with the Once upon a Time actors.","['Media and Entertainment', 'Comprehensive Articles on Episodes', 'Website Translations', 'Fan Community Platform', 'French Conventions', 'French Artists', 'Season 1, 2, and 3 Guides', 'Fan Engagement Platform']",Services,Television Broadcasting,Television Broadcasting Stations,['Community Engagement Services']
"The company is a platform for job seekers in the field of railway and construction, offering positions ranging from assistant train conductors to two-way diggers. They specialize in providing opportunities for individuals seeking employment in the railway and building industry.","['Specialized Construction Services', 'Presentation Services', 'Job Opportunities in The Railway Industry', 'Job Listing Services', 'Job Listings Platform', 'Construction Jobs Platform', 'Construction Marketplace', 'Platform for Offers and Inquiries', 'Homepage Link Services']",Services,Railroad Service Companies,Short Line Railroads,[]
"LATG Cable is a cable company that specializes in the supply and installation of electrical equipment and cable products throughout the Russian Federation. They offer a wide range of electrical products and can meet various needs of their customers. The company prides itself on being a reliable supplier of electrical supplies and equipment, and their specialists are available to help customers choose the right product for their needs.","['Prompt and Efficient Delivery', 'Supply and Legally', 'Cable Products Supply and Fitting']",Manufacturing,Cables & Wires,Other Communication and Energy Wire Manufacturing,[]
Relax Biotech Private Limited is a professionally managed pharmaceutical company that operates an office and manufacturing unit.,"['ISO 9001 Certification', 'Pharmaceutical Company', 'Cgmp Certified', 'Pharmaceutical Formulations Manufacturer', 'Pharmaceutical Capsules', 'Formulation Development', 'Research and Development', 'Pharmaceutical Manufacturing', 'Technologically Advanced Tools and Machinery', 'Oral Liquids', 'Office and Manufacturing Unit', 'Biotechnology', 'Medical Devices', 'Environmentally Friendly Products', 'FDA and EPA Approved Antimicrobial Products']",Manufacturing,Pharmaceutical Products,Medicinal and Botanical Manufacturing,['Pharmaceutical Manufacturing']
"The company offers a range of products including 360° Adjustable HD Convex Blind Spot Mirrors for Cars, SUVs, and Trucks, Ay-49 Video Making Kit Vlogging Tripod Triple Band Light, Electric Mosquito Killer Lamp, Jade Roller & Gua Sha Set Face Roller And Gua Sha Facial Tools for Skin Care Routine and Puffiness, Luxurious Leopard-Shaped Dashboard Mobile Holder, Mouse Shaped Mobile Holder - One Touch Open Desk Holder, Rechargeable 4 in 1 Derma Suction Blackhead & Acne Remover, and LED Mosquitor Killer Lamp. The LED Mosquitito Killer lamp is a sleek and energy-efficient solution for a mosquito-free environment that uses UV light to attract and silently eliminate mosquitoes. It is safe, chemical-free, and easy to clean, making it an essential addition to any decor.","['Video Making Vlog Tripod Kit', 'Jade Roller and Gua Sha Set', 'Rechargeable 4 in 1 Derma Suction', 'Luxurious Leopard-shaped Dashboard Mobile Holder', 'Mosquito Killer Lamp', 'Online Retail', 'Mouse-shaped Mobile Holder with One Touch', 'Wall Decorations for Yoga Studios']",Manufacturing,Lighting Stores,Electric Lamp Bulb and Other Lighting Equipment Manufacturing,['Chemical Manufacturing']
"Ecoville Três Coroas is a company based in Três Coroas, Brazil, specializing in the supply of cleaning products.",[],Wholesale,Cleaning Equipment & Supplies,Service Establishment Equipment and Supplies Merchant Wholesalers,[]
"Mizuki Kogyo Co., Ltd. is a Japanese company that specializes in planning and developing equipment for educational facilities, including nursery equipment such as kindergarten desks and chairs for children's care facilities. They manufacture and sell supplies, furniture, and accessories for infants, kindergarten children, primary schools, secondary schools, and high schools. The company has a long-standing experience and expertise in the education field and aims to provide safe and secure products that meet the needs of future generations. They have a focus on safety and quality and are committed to advancing in the future.","['Furniture and Construction Supplies', 'Teaching Materials', 'Nursery Chairs', 'Development Planning', 'Planning and Development of Nursery Equipment', 'Bike Handles', 'Kindergarten Desks and Chairs Manufacturer', 'High School Equipment Manufacturer or Supplier/manufacturer', 'Motorcycle Frames', 'Educational Equipment Manufacturing']",Manufacturing,Furniture Stores,Custom Architectural Woodwork and Millwork Manufacturing,"['Wood Product Manufacturing', 'Furniture Manufacturing']"
"Eiríksstaððstaðir is a company that specializes in horse and sheep breeding, as well as wool products. The company is located in an area of 8,000 acres of land, including 45 hectares of heath meadows, rivers, lakes, streams, mountains, highland steppe, and woodlands. They are committed to expanding their herd and raising their own sheep, and also raise Icelandic horses in small numbers. In addition to their farming activities, the company also offers training for sled dogs.","['Animal Husbandry Services', 'Sheep Breeding and Raising Services', 'Sheepdog Training', 'Icelandic Horses Breeding']",Manufacturing,Livestock & Animal Raising,Horses and Other Equine Production,"['Animal Training Services', 'Ice Production Services', 'Wood Product Manufacturing', 'Training Services']"
"Sanjeev Kumar is a taxi service provider based in Patna, Bihar, India.",['Taxi and Rideshare Services'],Services,Taxicabs,Taxi and Ridesharing Services,[]
"BP is a leading and innovative brand that operates a service station and transport services center in southern Spain and Europe. Located at the junction between the Mediterranean Motorway (Autovía del Mediterráneo) and Via de la Plata, BP offers a range of products and services including fuels (Diesel A, Gasolina 95, Petrolina 98), AdBlue, and diesel B, as well as AdBlue products. They also provide services such as truck and passenger car washing, disinfection of refrigerated vehicles, parking, and a cafe/restaurant with amenities like showers, lockers, shops, printing of loading orders, spare parts, and free WiFi. BP is committed to delivering quality products and is available 24/7, 365 days a year.","['Refrigerated Vehicle Disinfection Services', 'Fuel Products', 'EU Pallet Loading and Depositing', 'Services & Shops', 'Multiple Car and Truck Washing', 'Locker Services', 'Printing of Loading Orders', 'Parking Facilities', 'Diesel', 'Transportation Services', 'Free Wifi', 'Sockets for Refrigeration Vehicles', 'Shower Services', 'Spares & Parts', 'Adblue Fuel', 'Cafe', 'M2 Warehouse Floor Usage']",Wholesale,Gas Stations,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"['Printing Services', 'Arts Services']"
"LINEX Garden is a company that specializes in providing durable, maneuverable, lightweight, and water-saving water items for lawns and gardens. Their product line includes soaker hoses, raised garden beds, hose nozzles and wands, sprinkler hoses and timers, lawn and garden hose, and sprinkler accessories. The company's business philosophy is centered around the idea that taking care of one's lawn and gardens means taking care care of oneself. They are committed to bringing a comprehensive and positive impact on the garden life.","['Hose Nozzles and Walls', 'Plastics Compounder', 'Watering Timers', 'Raised Garden Beds', 'Soaker Hoses', 'Tree Nursery and Orchard Production', 'Irrigation Products Manufacturer', 'Lawn Care Products Manufacturer', 'Production', 'Gardening Services', 'Plastic Hoses Manufacturer']",Manufacturing,Hose & Belts,Rubber and Plastics Hoses and Belting Manufacturing,"['Gardening Services', 'Ice Production Services', 'Ink Production Services', 'Plastic Manufacturing', 'Rubber Manufacturing']"
"Robert L Thompson Md is a radiologist based in San Antonio, Texas, United States.",[],Services,Radiology Clinic,Diagnostic Imaging Centers,[]
"Family Life Anchored is a company that specializes in providing insurance and financial solutions for individuals and families. They offer a range of services including final expense, mortgage protection, health, Medicare, life, and retirement planning. The company takes the time to understand each client's unique needs and provides personalized attention to create custom insurance plans that fit their budget and coverage requirements. They also offer mortgage protection insurance to safeguard families against unexpected death and loss of income, as well as final expense insurance to cover end-of-life expenses. Family Life Anchoured is committed to providing excellent customer service and personalized attention from their highly skilled mortgage protection specialists.","['Mortgage Protection Insurance', 'Final Expense Insurance', 'Insurance & Medicare', 'Retirement Insurance', 'Insurance Brokerage Services', 'Life Insurance']",Services,"Insurance - Agents, Carriers & Brokers",Direct Life Insurance Carriers,"['Insurance Services', 'Financial Services']"
"Grand Willow Organics is a Manitoba-based company that specializes in providing premium certified organic beef products. Their beef is sourced from local Manitoba-raised cattle that are traceable to the farm of origin by lot number. The company prides itself on offering organic beef that is free from antibiotics, growth hormones, and steroids, and is fed non-GMO grass and feed that has not been treated with chemicals, pesticides, fungicides, herbicides, or artificial fertilizers. Their certified organic producers follow strict management and production protocols that go above and beyond government standards, ensuring a healthy and flavorful product. The cattle are fed organic grain supplementation only during the last few weeks of their lifetime, which improves the marbling in meat cuts. All inputs, including straw, mineral, and salt, are met with strict organic rules, and producers are third-party inspected annually.","['Premium Organic Beef Products', 'Dry Aged Beef', 'Humane Treatment of Animals', 'Third-party Certified', 'Traceability to Farm Origin', 'Strict Production Protocols', 'Grass Feed Non-gmo', 'Meat Processing', 'Animals Care', 'Organic Grain Supplementation']",Manufacturing,Livestock & Animal Raising,Cattle Feedlots,"['Animal Feed Manufacturing', 'Chemical Manufacturing']"
"Tokyo Environmental Industry Co., Ltd. is a Japanese company that has been providing environmental maintenance services for over 20 years. Their services include sewer maintenance management, cleaning of sewers, drains, and other related services. They also offer a wide range of civil engineering work, including various types of pipe cleaning, industrial waste collection and transportation, and general civil engineering. The company is committed to helping clients create a clean and healthy environment.","['P Cleaning and Maintenance Services', 'Industrial Waste Collection Services', 'Sewer Line Service']",Services,Garbage Collection & Waste Disposal,All Other Miscellaneous Waste Management Services,"['Waste Management Services', 'Environmental Health Services']"
Đại Lý Bia Nguyễn - Nhân Phân Đôn Phối Bia is a company that specializes in the production and distribution of beer.,['Alcoholic Beverages Retailer'],Manufacturing,Breweries,Breweries,[]
"Soufflet Vigne - Pézenas is a business located in Pézenas, France, operating in the wine industry. The company functions as a winemaking supply store, fertilizer supplier, tool store, and winery. It also offers work clothes.",[],Wholesale,Wine Shops & Wineries,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,[]
"Voodoolist is a company that offers marriage solutions and protection charms to help individuals renew passion and bring love back into their relationships. They provide services to save marriages, restore passion, reunite lost loves, and offer rituals to help businesses. The company claims to be capable of performing effective lost love spells and can get stubborn ex-wives or husbands back.","['Marriage License Renewal Services', 'Protection Charms', 'Divorce Solutions', 'New Business Rituals Services', 'Black Magic Removal', 'Marriage Support Services Provider', 'Spiritual Healings', 'Health Problem Solutions', 'Passion Renewal', 'Voodoo Astrology Services', 'Love Restoration Services', 'Business Protection Services', 'Reunite Lost Love']",Services,Shoe Shining & Repair,All Other Personal Services,['Restoration Services']
